project,package,class,method,time
niosus,com.learnit.learnit.fragments.learn_fragments,AbstractLearnFragment,fetchNewRandomWordsAsync.(II)V,28
niosus,com.learnit.learnit.fragments.learn_fragments,AbstractLearnFragment,fetchNewRandomWordsAsync.(I)V,29
niosus,com.learnit.learnit.fragments.learn_fragments,AbstractLearnFragment,hideButtons.(II)V,29
jeremux,serveur,GraphImpl,aRecu.(I)Z,35
jeremux,serveur,GraphImpl,getCptMessage.(I)I,30
jeremux,serveur,TreeImpl,aRecu.(I)Z,30
jeremux,serveur,TreeImpl,getCptMessage.(I)I,30
dheerajbsc,-,DepthFirstSearch,addEdge.(II)V,30
Artur-,org.vaadin.artur,DayValidator,setMonth.(I)V,30
Artur-,org.vaadin.artur,DayValidator,getDaysInMonth.(I)I,80
sivang,org.kde.necessitas.origo,QtActivity,onCreateDialog.(I)Ljava/lang/Object;,29
sivang,org.kde.necessitas.origo,QtActivity,onCreatePanelView.(I)Ljava/lang/Object;,39
tphoney,com.android.neverheardthat,Collection,getArtist.(I)Ljava/lang/Object;,29
lluidesia,com.stfalcon.lostandfound.tabs,SlidingTabLayout,setCustomTabView.(II)V,29
lluidesia,com.stfalcon.lostandfound.tabs,SlidingTabLayout,scrollToTab.(II)V,35
AxelSilvestre,fr.sedara.pusher.model,Game,playerForward.(II)Z,28
immlf,ua.pp.lab101.synthesizercontrol.activity.accessory,ReadDataFromCSVFileActivity,checkTime.(III)Z,47
immlf,ua.pp.lab101.synthesizercontrol.activity.accessory,ReadDataFromCSVFileActivity,getTimeInSeconds.(III)I,27
immlf,ua.pp.lab101.synthesizercontrol.activity.main,MainActivity,onModeSelected.(I)V,28
immlf,ua.pp.lab101.synthesizercontrol.adregisters,ADRegister,setBitByPosition.(I)V,38
immlf,ua.pp.lab101.synthesizercontrol.adregisters,ADRegister,clearBitByPosition.(I)V,42
immlf,ua.pp.lab101.synthesizercontrol.adregisters,ADRegister,setStateByMask.(I)V,26
immlf,ua.pp.lab101.synthesizercontrol.adregisters,ADRegister,clearStateByMask.(I)V,27
immlf,ua.pp.lab101.synthesizercontrol.adregisters,ADRegister,isSuitablePositionValue.(I)Z,37
immlf,ua.pp.lab101.synthesizercontrol.ftdiconverter,DataConverter,returnSetBitMask.(I)B,27
immlf,ua.pp.lab101.synthesizercontrol.ftdiconverter,DataConverter,returnClearBitMask.(I)B,27
fabiuz7,edu.priceton.cs.graph,DigraphGenerator,tournament.(I)Ljava/lang/Object;,29
fabiuz7,edu.priceton.cs.graph,GraphGenerator,regular.(II)Ljava/lang/Object;,31
fabiuz7,edu.umd.cloud9.util,ArrayListOfFloats,ensureCapacity.(I)V,32
fabiuz7,edu.umd.cloud9.util,ArrayListOfFloats,get.(I)F,29
fabiuz7,edu.umd.cloud9.util,ArrayListOfFloats,remove.(I)F,29
fabiuz7,edu.umd.cloud9.util,ArrayListOfInts,ensureCapacity.(I)V,30
fabiuz7,edu.umd.cloud9.util,ArrayListOfInts,contains.(I)Z,28
fabiuz7,edu.umd.cloud9.util,ArrayListOfInts,indexOf.(I)I,28
fabiuz7,edu.umd.cloud9.util,ArrayListOfInts,lastIndexOf.(I)I,29
fabiuz7,edu.umd.cloud9.util,ArrayListOfInts,get.(I)I,30
fabiuz7,edu.umd.cloud9.util,ArrayListOfInts,set.(II)I,31
fabiuz7,edu.umd.cloud9.util,ArrayListOfInts,add.(I)V,31
fabiuz7,edu.umd.cloud9.util,ArrayListOfInts,add.(II)V,42
fabiuz7,edu.umd.cloud9.util,ArrayListOfInts,remove.(I)I,30
fabiuz7,edu.umd.cloud9.util,ArrayListOfInts,shiftLastNToTop.(I)V,36
fabiuz7,edu.umd.cloud9.util,ArrayListOfShorts,ensureCapacity.(I)V,35
fabiuz7,edu.umd.cloud9.util,ArrayListOfShorts,get.(I)S,32
fabiuz7,edu.umd.cloud9.util,ArrayListOfShorts,remove.(I)S,31
fabiuz7,util,GetData,getIntFromKeyboard.(II)I,153
aurora-lzzp,student,ClassMgr,setClassMgrid.(I)V,31
aurora-lzzp,student,ClassMgr,delClass.(I)Z,30
rsv355,beap.webmyne.com.demotabbar,MainActivity,selectTAB.(I)V,53
igrief15,-,Board,drawBoard.(II)V,359
igrief15,-,Board,function.(I)I,30
igrief15,-,Board,occupy.(II)V,29
igrief15,-,Board,unoccupy.(II)V,35
igrief15,-,Player,move.(I)I,37
igrief15,-,Player,changeCoins.(I)V,29
igrief15,-,Position,occupy.(I)V,36
igrief15,-,Position,unoccupy.(I)V,36
Sidereo,com.sidereo.paparazzi.adapter,PictureAdapter,getItemViewType.(I)I,31
bhargavchippada,clickr,LoginPage,updateSharedPref.(I)V,34
di-ruan,shared,RDSWrapper,deleteCoupon.(II)Z,29
EricssonResearch,com.ericsson.research.owr.sdk,MediaStreamHandler,onSendSsrcChanged.(I)V,44
TBtomislav,jxl.biff,FormattingRecords,isDate.(I)Z,44
TBtomislav,jxl.biff,FormattingRecords,getDateFormat.(I)Ljava/lang/Object;,32
TBtomislav,jxl.biff,FormattingRecords,getNumberFormat.(I)Ljava/lang/Object;,31
TBtomislav,jxl.biff.formula,Area3d,adjustRelativeCellReferences.(II)V,32
TBtomislav,jxl.biff.formula,CellReference3d,adjustRelativeCellReferences.(II)V,34
TBtomislav,jxl.biff.formula,Function,getFunction.(I)Ljava/lang/Object;,32
TBtomislav,jxl.format,Colour,getInternalColour.(I)Ljava/lang/Object;,33
TBtomislav,jxl.write.biff,RowRecord,setRowHeight.(I)V,28
TBtomislav,jxl.write.biff,RowRecord,removeCell.(I)V,28
TBtomislav,jxl.write.biff,RowRecord,getCell.(I)Ljava/lang/Object;,28
TBtomislav,jxl.write.biff,RowRecord,insertColumn.(I)V,28
TBtomislav,jxl.write.biff,RowRecord,removeColumn.(I)V,29
TBtomislav,jxl.write.biff,RowRecord,setOutlineLevel.(I)V,28
TBtomislav,jxl.write.biff,WritableWorkbookImpl,removeSheet.(I)V,34
TBtomislav,jxl.write.biff,WritableWorkbookImpl,moveSheet.(II)Ljava/lang/Object;,28
TBtomislav,jxl.write.biff,WritableWorkbookImpl,getExternalSheetName.(I)Ljava/lang/Object;,29
TBtomislav,jxl.write.biff,WritableWorkbookImpl,getLastExternalSheetName.(I)Ljava/lang/Object;,29
TBtomislav,jxl.write.biff,WritableWorkbookImpl,getExternalSheetIndex.(I)I,30
TBtomislav,jxl.write.biff,WritableWorkbookImpl,getLastExternalSheetIndex.(I)I,30
RedingG,com.reding.qrcard,WelcomeActivity,onPageScrollStateChanged.(I)V,30
RedingG,com.reding.qrcard,WelcomeActivity,onPageSelected.(I)V,28
RedingG,com.reding.qrcard,WelcomeActivity,setCurView.(I)V,40
RedingG,com.reding.qrcard,WelcomeActivity,setCurDot.(I)V,30
Holmaren,ir,PostingsEntry,addOffset.(I)V,44
mtudora,com.application.timmy.ui,AddMeActivity,calculateInSampleSize.(IIII)I,537
mtudora,com.application.timmy.ui,OfficeMapView,onSizeChanged.(IIII)V,30
mtudora,com.application.timmy.ui,OfficeMapView,onMeasure.(II)V,27
mtudora,com.application.timmy.ui,OfficeMapView,measure.(I)I,32
alero,org.hrodberaht.i18n.formatter,NumberFormatter,validatePosition.(IIII)Z,34
kawsar-ahmed,demo,Demo,multiply.(II)I,46
netixx,fr.enst.infsi351.notedown.fragment,CutPdfRendererFragment,showPage.(II)V,29
netixx,fr.enst.infsi351.notedown.fragment,SideBySidePdfRendererFragment,showPage.(II)V,28
netixx,fr.enst.infsi351.notedown.fragment,SideBySidePdfRendererFragment,clearMarkers.(I)V,29
netixx,fr.enst.infsi351.notedown.fragment,SideBySidePdfRendererFragment,renderMarkers.(I)V,29
netixx,fr.enst.infsi351.notedown.util,PdfEngine,prepareRender.(I)Z,29
wenjiang,com.zwb.simple.ui,SelectorDrawable,setColors.(II)V,28
wenjiang,com.zwb.simple.ui,SelectorDrawable,changeViewOn.(I)V,27
aatxe,org.tomato.net.server.debug,LimitLinesDocumentListener,setLimitLines.(I)V,58
roma,com.rakuten.rit.roma.romac4j.connection,RomaSocketPool,init.(IIII)V,34
naver,com.naver.android.rotatableviewsample,MainActivity,roundOrientation.(II)I,31
abraxasson,at.abraxas.amarino.example.plugin.compass,MyEditActivity,getRate.(I)I,68
abraxasson,at.abraxas.amarino.plugins.accelerometer,EditActivity,getRate.(I)I,70
abraxasson,at.abraxas.amarino.plugins.compass,EditActivity,getRate.(I)I,69
abraxasson,at.abraxas.amarino.plugins.orientation,EditActivity,getRate.(I)I,68
GugleGH,ru.nosov.SMSreader.db.adapters,AdapterPSTv1,getItemId.(I)J,41
GugleGH,ru.nosov.SMSreader.db.adapters,AdapterPSTv1,getItemViewType.(I)I,43
GugleGH,ru.nosov.server.db.tables.logic,UsersDAOImpl,getUsersById.(I)Ljava/lang/Object;,44
GugleGH,ru.nosov.server.db.tables.logic,UsersTypesDAOImpl,getUsersTypesById.(I)Ljava/lang/Object;,44
CMTelecom,com.cmtelecom.example.activities,RegistrationActivity,getCountryISOForCountryCode.(I)Ljava/lang/Object;,43
asleepcat,org.eclipse.wb.swt,SWTResourceManager,getCursor.(I)Ljava/lang/Object;,44
vcsupser,io.netty.example.portunification,PortUnificationServerHandler,isGzip.(II)Z,44
vcsupser,io.netty.example.portunification,PortUnificationServerHandler,isHttp.(II)Z,44
vcsupser,io.netty.example.portunification,PortUnificationServerHandler,isFactorial.(I)Z,45
StefanCiotec,ro.pub.cs.systems.pdsd.lab05.sample09baseadapter.controller,CartoonAdapter,getItemId.(I)J,42
StefanCiotec,ro.pub.cs.systems.pdsd.lab05.sample09baseadapter.controller,CartoonAdapter,getItemViewType.(I)I,43
StefanCiotec,ro.pub.cs.systems.pdsd.lab05.sample10listactivity.controller,CartoonAdapter,getItemId.(I)J,42
StefanCiotec,ro.pub.cs.systems.pdsd.lab05.sample10listactivity.controller,CartoonAdapter,getItemViewType.(I)I,45
StefanCiotec,ro.pub.cs.systems.pdsd.lab05.sample11listfragment.controller,CartoonAdapter,getItemId.(I)J,40
StefanCiotec,ro.pub.cs.systems.pdsd.lab05.sample11listfragment.controller,CartoonAdapter,getItemViewType.(I)I,43
StefanCiotec,ro.pub.cs.systems.pdsd.lab05.addressbook.controller,ContactAdapter,getItemId.(I)J,41
StefanCiotec,ro.pub.cs.systems.pdsd.lab05.addressbook.controller,ContactAdapter,getItemViewType.(I)I,42
StefanCiotec,ro.pub.cs.systems.pdsd.lab05.addressbook.controller,ContactAdapter,setCheckedItemPosition.(I)V,41
butterflylove,practice,FourSum,isSame.(IIII)Z,125
alexditu,ro.pub.cs.systems.pdsd.lab05.sample09baseadapter.controller,CartoonAdapter,getItemId.(I)J,42
alexditu,ro.pub.cs.systems.pdsd.lab05.sample09baseadapter.controller,CartoonAdapter,getItemViewType.(I)I,44
alexditu,ro.pub.cs.systems.pdsd.lab05.sample10listactivity.controller,CartoonAdapter,getItemId.(I)J,41
alexditu,ro.pub.cs.systems.pdsd.lab05.sample10listactivity.controller,CartoonAdapter,getItemViewType.(I)I,43
alexditu,ro.pub.cs.systems.pdsd.lab05.sample11listfragment.controller,CartoonAdapter,getItemId.(I)J,42
alexditu,ro.pub.cs.systems.pdsd.lab05.sample11listfragment.controller,CartoonAdapter,getItemViewType.(I)I,44
alexditu,ro.pub.cs.systems.pdsd.lab05.addressbook.controller,ContactAdapter,getItemId.(I)J,41
alexditu,ro.pub.cs.systems.pdsd.lab05.addressbook.controller,ContactAdapter,getItemViewType.(I)I,44
alexditu,ro.pub.cs.systems.pdsd.lab05.addressbook.controller,ContactAdapter,setCheckedItemPosition.(I)V,42
josinmartinez,Pruebas.LocalSearch,EightQueens,rowLessViolationsByColumn.(I)I,54
josinmartinez,Pruebas.LocalSearch,EightQueens,violations.(I)I,43
