project,package,class,method,time
jordanywhite,edu.up.cs301.game.config,GameConfig,getSelName.(I)Ljava/lang/Object;,39
sephiroth74,it.sephiroth.android.library.overlaymenu,OverMenuView,createMenuOverlay.(I)V,39
stickfigure,unsuck.security,BCrypt,gensalt.(I)Ljava/lang/String;,501
TBtomislav,jxl.biff.formula,Function,getFunction.(I)Ljava/lang/Object;,43
compgen-io,io.compgen.common,TallyCounts,incrementKey.(I)V,58
WyattPearson,ui,DrawPanel,setSize.(II)V,421
caseyjames,FinalProject,PriorityQueueHEAP,swap.(II)V,33
divinebooger,ngordnet,NGramMap,getRecord.(I)Ljava/lang/Object;,33
clrung,-,Heap,heapifyUp.(I)V,41
jhonnybsg,br.com.gamezes.screens,PlayerSelectScreen,keyUp.(I)Z,34
RomanStoyko,com.storoman.app,MainActivity,onCreateDialog.(I)Ljava/lang/Object;,36
Mandrivia,main,ProblemData,isCovered.(I)I,34
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,decrSide.(I)Z,33
caseyjames,FinalProject,PriorityQueueHEAP,percolateUp.(I)V,57
RomanStoyko,com.storoman.app,MainActivity,delayedHide.(I)V,29
tliu17,-,ListGraph,addEdge.(II)V,42
sheryanresutov,gui,GamePanel,removePlayer.(I)V,29
pfyuit,com.pfyuit.myalgorithm.datastructure.hash,HashTable,hashFunc.(I)I,33
KenyStev,com.ZeroStudio.Algorimos.week1,WeightedQuickUnionUF,union.(II)V,31
igorgatis,com.googlecode.compress_j2me.gzip,ZStream,writeLittleEndian.(II)V,38
tliu17,-,DirectedMatrixGraph,addEdge.(II)V,41
lorinczpatrik,tema2_TP,Simulator,addClients.(I)V,34
mtudora,com.application.timmy.ui,OfficeMapView,onSizeChanged.(IIII)V,65
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,setSide.(II)Z,34
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,transfer.(III)Z,34
tliu17,-,OpenHashing,printTable.(I)V,46
jeremux,serveur,TreeImpl,getCptMessage.(I)I,33
martincameron,micromod,Channel,waveform.(II)I,33
divinebooger,-,Board,function.(I)I,33
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingMapActivity,setBehindContentView.(I)V,37
divinebooger,huglife,HugLife,simulate.(I)V,36
JsonHunt,com.squareup.okhttp.internal.tls,DistinguishedNameParser,getByte.(I)I,41
linsonzhao,video.app.autobahn,WebSocketOptions,setReconnectInterval.(I)V,29
igorgatis,com.googlecode.compress_j2me.gzip,ZStream,checkNoEOF.(I)V,38
sheryanresutov,GameBackEnd,GameBoard,checkSet.(III)Z,32
jordanywhite,edu.up.cs301.game,GameHumanPlayer,flash.(II)V,34
stickfigure,unsuck.lang,DateUtil,calculateDaysAgoJoinedFloor.(I)Ljava/lang/Object;,31
igorgatis,com.googlecode.compress_j2me.gzip,ZStream,writeInternal.(I)V,34
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingActivity,findViewById.(I)Ljava/lang/Object;,33
eevans,SevenZip.Compression.LZMA,Base,GetLenToPosState.(I)I,40
srivathsarao,com.vertexnet.realestate.model.tablemodel,AgentsTableModel,getValueAt.(II)Ljava/lang/Object;,34
mithunkumarnallu,SchedulingAlgos,ProcessInfo,DecrementProcessBurstTime.(I)I,60
abraxasson,at.abraxas.amarino.plugins.compass,EditActivity,getRate.(I)I,58
kawsar-ahmed,demo,Demo,multiply.(II)I,62
Mandrivia,main,ProblemData,getTargetIndex.(II)I,36
leetea,com.androidexample.noisealert,SoundLevelView,setLevel.(II)V,32
WyattPearson,-,HailstoneGenerator,hailstone.(I)I,38
divinebooger,-,StdDrawDemo,drawBoard.(I)V,38
clear2zero,com.ksy.media.widget,MediaPlayerView,doScreenOrientationRotate.(I)V,31
TBtomislav,jxl.write.biff,WritableWorkbookImpl,getLastExternalSheetName.(I)Ljava/lang/Object;,31
ronenfilho,com.imagery.imagerymedical,MainActivity,displayView.(I)V,34
Shanmathi1,edu.uic.cs583.msgsp,Input,min.(II)I,40
immlf,ua.pp.lab101.synthesizercontrol.ftdiconverter,DataConverter,returnClearBitMask.(I)B,30
Jumping-alien-W-and-M,jumpingalien.model,World,getHash.(II)I,29
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,isValidSlot.(I)Z,35
hpu-spring87,com.hpuvoice.XlistView,XListViewHeader,setState.(I)V,30
linsonzhao,video.app.com.views,ScallingImageView,setMaxWidth.(I)V,31
hpu-spring87,com.hpuvoice.XlistView,XListViewFooter,setBottomMargin.(I)V,35
twitter,com.twitter.http2,HttpConnection,updateReceiveWindowSize.(II)I,31
eevans,SevenZip.Compression.LZMA,Decoder,SetDictionarySize.(I)Z,35
Mandrivia,main,ProblemData,setnZ.(I)V,27
divinebooger,-,StdDrawPlus,show.(I)V,105
jeremux,serveur,GraphImpl,getCptMessage.(I)I,31
sheryanresutov,GameBackEnd,GameBoard,addCards.(I)V,35
voodoodyne,org.subethamail.smtp.io,CRLFOutputStream,write.(I)V,28
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,setFacing.(I)Z,29
boulderalf,com.boulderalf.markdown2mm,ToMmSerializer,createNode.(I)Ljava/lang/Object;,38
butlersrepos,dungeonDigger.entities.templates,ZombieTemplate,newCon.(I)I,30
clhernandez,cl.usach.lab1.db.DAO.rrhh,DepartamentoDAO,eliminarDepartamento.(I)Z,31
dezouzart,service,SmartBusca,heuristica.(IIII)I,31
yxsu,com.petuum.ps.server,ServerRow,unsubscribe.(I)V,32
KenyStev,com.ZeroStudio.Algorimos.week1,QuickUnionUF,root.(I)I,30
fabiuz7,edu.priceton.cs.graph,GraphGenerator,regular.(II)Ljava/lang/Object;,30
The-WUUSTER,-,Plausibility,indexLookup.(I)I,64
divinebooger,huglife,HugLifeUtils,randomInt.(II)I,34
martincameron,micromod,Channel,updateSampleIdx.(II)V,40
linsonzhao,video.app.com.views,ScallingImageView,onMeasure.(II)V,31
zlim,jnt.scimark2,MonteCarlo,integrate.(I)D,36
luizrogeriocn,-,ListaDeCantinas,getEstoqueByPort.(I)I,31
martincameron,micromod,Macro,divide.(III)I,38
hpu-spring87,com.hpuvoice.app,ContentActivity,onPageSelected.(I)V,31
yitaohu,cs61b_project1,PixImage,getGreen.(II)S,32
bashizip,com.bashizip.andromed,QuotesActivity,displayQuote.(I)V,41
n11com,com.n11.tech.endlessadapter.adapter,EndlessAdapter,getItemId.(I)J,28
online-solutions,plus.studio.beta.streamvideo.mediacontroller,VideoControllerView,show.(I)V,33
halfjew22,net.everythingandroid.timer,TimerActivity,switchTimerInputMethod.(I)V,30
clear2zero,com.ksy.media.player,BaseMediaPlayer,notifyOnError.(II)Z,32
caseyjames,FinalProject,PriorityQueueHEAP,percolateDown.(I)V,48
JsonHunt,com.squareup.okhttp.internal.spdy,Settings,getInitialWindowSize.(I)I,31
nemui,deep.dark.lonebrewer,LBWFCompanionConfigActivity,startColourPicking.(I)V,29
linsonzhao,video.app.autobahn,ByteBufferOutputStream,write.(I)V,37
sudobash1,pbsc,PbscCompiler,generateSymTabComment.(II)Ljava/lang/Object;,31
alexditu,ro.pub.cs.systems.pdsd.lab05.sample11listfragment.controller,CartoonAdapter,getItemViewType.(I)I,31
cyanskies,au.edu.deakin.ice.meltdown,SoundManager,stop.(I)V,52
MikeLydeamore,powercrystals.core.gui.controls,Button,getTextColor.(II)I,29
gpfjeff,com.gpfcomics.android.ppp,Cardset,setNumberOfColumns.(I)V,30
jglewis93,com.example.jon.restroomradar,SchemaContract,getLatitude.(I)D,30
eevans,SevenZip.Compression.LZ,InWindow,GetMatchLen.(III)I,39
ey-,com.aje.logic16.app.serverApi,api,getHighScore.(I)Ljava/lang/Object;,28
StefanCiotec,ro.pub.cs.systems.pdsd.lab05.sample11listfragment.controller,CartoonAdapter,getItemId.(I)J,27
caseyjames,assignment5,MyLinkedList,get.(I)Ljava/lang/Object;,30
linsonzhao,video.app.autobahn,ByteBufferOutputStream,expand.(I)V,27
TBtomislav,jxl.write.biff,RowRecord,getCell.(I)Ljava/lang/Object;,29
zhangruoxu,VC.CodeGen,Emitter,emitASTORE.(I)V,38
TBtomislav,jxl.format,Colour,getInternalColour.(I)Ljava/lang/Object;,29
twitter,com.twitter.http2,HttpConnection,getSendWindowSize.(I)I,39
KenyStev,-,PalindromoAir,income.(I)D,30
jordanywhite,edu.up.cs301.game.config,GameConfig,getSelType.(I)Ljava/lang/Object;,30
divinebooger,-,ArrayList61B,get.(I)Ljava/lang/Object;,30
MikeLydeamore,powercrystals.core.gui.controls,ListBox,onScroll.(I)V,29
KenyStev,-,BinaryStdOut,writeByte.(I)V,42
sheryanresutov,gui,CardGrid,removeCard.(I)V,32
voodoodyne,org.subethamail.smtp.io,ThresholdingOutputStream,checkThreshold.(I)V,27
sheryanresutov,gui,Card,getID.(I)I,108
clhernandez,cl.usach.lab1.finanzas.rmi.client,ClienteFinanzasRMI,eliminarOrdenProducto.(I)Z,37
TBtomislav,jxl.write.biff,WritableWorkbookImpl,moveSheet.(II)Ljava/lang/Object;,31
TBtomislav,jxl.write.biff,RowRecord,setOutlineLevel.(I)V,30
netixx,fr.enst.infsi351.notedown.fragment,SideBySidePdfRendererFragment,renderMarkers.(I)V,32
TomWerner,com.wernerapps.ezbongo.StopListing,ExpandableSwipeAdapter,getChildId.(II)J,29
jhonnybsg,br.com.gamezes.screens,PlayerSelectScreen,keyDown.(I)Z,31
eevans,SevenZip.Compression.LZ,InWindow,GetIndexByte.(I)B,30
martincameron,micromod,Instrument,setVolume.(I)V,42
MikeLydeamore,cofh.gui,GuiTextList,mouseClicked.(IIII)Ljava/lang/Object;,31
igorgatis,com.googlecode.compress_j2me.gzip,ZStream,skipBytes.(I)V,38
vehicle-history,io.vehiclehistory.fragment,NavigationDrawerFragment,selectItem.(I)V,31
gpfjeff,com.gpfcomics.android.ppp,Cardset,isValidNumberOfRows.(I)Z,34
twitter,com.twitter.http2,HttpConnection,isRemoteSideClosed.(I)Z,30
clhernandez,cl.usach.lab1.rrhh.rmi.client,ClienteRrhhRMI,eliminarTrabajador.(I)Z,33
caseyjames,assignment8,HashTable,nextPrime.(I)I,41
twitter,com.twitter.http2,HttpConnection,isLocalSideClosed.(I)Z,28
bitcrystal,de.bitcrystal.decentralizedexchange.security,BitCrystalKeyGenerator,getPasswordIterations.(I)I,36
martincameron,ibxm,Envelope,calculateAmpl.(I)I,29
dumchikov,chickens.kharkov.ua.chickens,TabsViewPagerAdapter,getItem.(I)Ljava/lang/Object;,29
DunnR,-,BinaryTree,search.(I)Z,39
Jumping-alien-W-and-M,jumpingalien.model,World,getTilePos.(I)I,29
voodoodyne,org.subethamail.smtp.server,SMTPServer,setBacklog.(I)V,28
Mandrivia,main,ProblemData,getAltitudeChanges.(II)I,28
twitter,com.twitter.http2,HttpConnection,updateSendWindowSize.(II)I,28
voodoodyne,org.subethamail.smtp.server,SMTPServer,setMaxMessageSize.(I)V,28
voodoodyne,org.subethamail.smtp.server,SMTPServer,setMaxConnections.(I)V,29
ey-,com.aje.logic16.app.serverApi,api,getScore.(I)Ljava/lang/Object;,28
frigidrain,scheduler,TaskGroup,setValue.(I)V,28
frontiertsymbal,com.frontier.giphy.utils,CircularViewPagerHandler,onPageSelected.(I)V,31
KenyStev,ChessChaturanga.Logica.Pieces,Horse,validMovement.(II)Z,28
yitaohu,cs61b_project1,PixImage,getBlue.(II)S,31
hpu-spring87,com.hpuvoice.fragment,NavigationDrawerFragment,selectItem.(I)V,31
xianc,-,Cell,groupSolve.(IIII)V,182
bitcrystal,de.bitcrystal.decentralizedexchange.security,BitCrystalKeyGenerator,getByteSizeKey.(I)I,36
StefanCiotec,ro.pub.cs.systems.pdsd.lab05.addressbook.controller,ContactAdapter,getItemViewType.(I)I,33
nikit-cpp,player,CustomPlayer,play.(I)Z,39
ahielg,hebrewDate,CalendarUtils,getJewishMonthName.(II)Ljava/lang/Object;,35
eevans,SevenZip.Compression.RangeCoder,Decoder,DecodeDirectBits.(I)I,43
PunchApp,com.android.volley.toolbox,PoolingByteArrayOutputStream,write.(I)V,49
phdabel,ufrgs.maslab.abstractsimulator.variables,FireStation,act.(I)V,42
endangh,p9.c,ArraysMatakuliah,deleteByIndeks.(I)V,36
Jumping-alien-W-and-M,jumpingalien.model,Slime,hit.(I)V,29
shred,org.shredzone.feinrip.gui,NoListSelectionModel,setSelectionMode.(I)V,30
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingPreferenceActivity,findViewById.(I)Ljava/lang/Object;,31
KenyStev,ChessChaturanga.Logica.Pieces,Tower,validMovement.(II)Z,28
clrung,-,Heap,right.(I)I,27
divinebooger,huglife,HugLifeUtils,randomInt.(I)I,29
zhangruoxu,VC.CodeGen,Emitter,emitALOAD.(I)V,36
TBtomislav,jxl.write.biff,RowRecord,removeColumn.(I)V,35
DHIS2,org.dhis2.mobile.utils.date.expiryday,SixMonthlyExpiryDayValidator,monthOfYear.(I)I,41
JPII,-,Bullet,increaseX.(I)V,30
eevans,SevenZip.Compression.LZMA,Base,StateUpdateMatch.(I)I,36
clhernandez,cl.usach.lab1.finanzas.rmi.client,ClienteFinanzasRMI,getOrdenById.(I)Ljava/lang/Object;,43
tliu17,-,ListGraph,getNeighbors.(I)Ljava/util/List;,36
fabiuz7,edu.umd.cloud9.util,ArrayListOfInts,get.(I)I,33
PunchApp,com.android.volley.toolbox,ByteArrayPool,getBuf.(I)[B,32
JsonHunt,com.squareup.okhttp.internal.spdy,Settings,set.(III)V,33
frigidrain,scheduler,TaskGroup,createChunks.(I)V,30
TymchenkoIvan,com.company.web.controller,ProductsServlet,setPages.(II)I,30
WyattPearson,-,Board,drawBoard.(II)V,314
NanodegreeStudent,com.danilaeremin.nicecoffee.Adapters,SubcategoryAdapter,getCategory.(I)Ljava/lang/Object;,30
AlecinVan,storm.ingress.tools,SlotBasedCounter,wipeSlot.(I)V,32
clhernandez,cl.usach.lab1.finanzas.rmi.client,ClienteFinanzasRMI,eliminarCliente.(I)Z,42
DShamaev,com.hikimori911.mylastfmclient.appinterface,MainMenuAdapter,isPositionHeader.(I)Z,32
krisnaru,-,PrimeNumbers,test.(I)V,112
igorgatis,com.googlecode.compress_j2me.gzip,ZStream,readBits.(I)I,38
jglewis93,com.example.jon.restroomradar,SchemaContract,getLongitude.(I)D,30
harrydet,com.example.harry.wakeup,MainScreen,onListItemSelected.(I)V,28
alkatena,aviones.modelo,ScoreMax,esMayorElPuntaje.(I)Z,33
clhernandez,cl.usach.lab1.db.DAO.rrhh,TrabajadorDAO,eliminarTrabajador.(I)Z,29
jordanywhite,edu.up.cs301.game.config,GameConfig,setRemoteSelType.(I)V,35
gpfjeff,com.gpfcomics.android.ppp,Cardset,setPasscodeLength.(I)V,29
alexditu,ro.pub.cs.systems.pdsd.lab05.addressbook.controller,ContactAdapter,getItemId.(I)J,28
clear2zero,com.ksy.media.widget,MediaPlayerView,convertAngle2Orientation.(I)I,34
JsonHunt,com.squareup.okhttp.internal.spdy,Settings,getMaxConcurrentStreams.(I)I,28
tecnomatico,com.freelancersteam.www.java.tomafoto.dominio.dao.imp,EmpleadoDaoImp,getEmpleadoDni.(I)Ljava/lang/Object;,30
divinebooger,-,ExceptionDemo,printPositiveNumber.(I)V,33
alexditu,ro.pub.cs.systems.pdsd.lab05.sample09baseadapter.controller,CartoonAdapter,getItemViewType.(I)I,29
clhernandez,cl.usach.lab1.db.DAO.finanzas,ClienteDAO,eliminarCliente.(I)Z,29
kinneyyan,com.yanshi.my36kr.common.view.slidingTab,SlidingTabLayout,setCustomTabView.(II)V,28
tkleisas,org.teacake.monolith.apk,HighScoreTable,isHighScore.(I)Z,30
StefanCiotec,ro.pub.cs.systems.pdsd.lab05.sample11listfragment.controller,CartoonAdapter,getItemViewType.(I)I,33
CaptainSpam,net.exclaimindustries.drivelapse,DriveLapse,switchButtonStates.(I)V,30
martincameron,micromod,Macro,sqrt.(I)I,43
divinebooger,-,StdDrawPlus,setPenColor.(III)V,115
azaky,ecc,ECPoint,toString.(I)Ljava/lang/String;,39
immlf,ua.pp.lab101.synthesizercontrol.adregisters,ADRegister,isSuitablePositionValue.(I)Z,37
Jumping-alien-W-and-M,jumpingalien.model,World,getProperXWindow.(I)I,28
Jumping-alien-W-and-M,jumpingalien.model,World,setXWindow.(I)V,51
immlf,ua.pp.lab101.synthesizercontrol.activity.accessory,ReadDataFromCSVFileActivity,getTimeInSeconds.(III)I,43
niosus,com.learnit.learnit.fragments.learn_fragments,AbstractLearnFragment,fetchNewRandomWordsAsync.(I)V,39
igrief15,-,Board,unoccupy.(II)V,31
bradfordkyle11,com.kmbapps.classscheduler,AddClassSectionActivity,createSection.(I)Ljava/lang/Object;,30
compgen-io,io.compgen.common,TallyCounts,getCount.(I)J,30
SvenDub,nl.svendubbeld.car.activity,CarActivity,onConnectionSuspended.(I)V,29
Mandrivia,main,ProblemData,getScoreBalloon.(II)I,32
spiritistz,com.wordpress.hifilmtheapp,MainActivity,getOutputMediaFile.(I)Ljava/lang/Object;,31
KenyStev,com.ZeroStudio.Algorimos.week1,QuickUnionUF,union.(II)V,31
jlnunn2372,bubblePopper,ScoreBoardController,setScore.(I)V,29
jeremux,serveur,TreeImpl,aRecu.(I)Z,31
allen-dolph,com.allendolph.f1results,NavigationDrawerFragment,selectItem.(I)V,28
tliu17,-,ListGraph,areNeighbors.(II)Z,34
double0291,com.android.volley.toolbox,PoolingByteArrayOutputStream,write.(I)V,27
Jumping-alien-W-and-M,jumpingalien.model,World,setWindowHeight.(I)V,26
mtudora,com.application.timmy.ui,AddMeActivity,calculateInSampleSize.(IIII)I,474
caseyjames,assignment9,PriorityQueueHEAP,percolateDown.(I)V,43
phdabel,util,MASLABRouting,getSearch.(I)Ljava/lang/Object;,30
immlf,ua.pp.lab101.synthesizercontrol.activity.accessory,ReadDataFromCSVFileActivity,checkTime.(III)Z,49
isince,com.ndsince.dictsv.Adapter,CustomAdapter,upDateFavoriteslist.(I)V,28
clhernandez,cl.usach.lab1.db.DAO.finanzas,ClienteDAO,getClienteById.(I)Ljava/lang/Object;,30
Tyrtle,trevorwarner.individualgame,Brick,setBrickHealth.(I)V,30
niosus,com.learnit.learnit.fragments.learn_fragments,AbstractLearnFragment,hideButtons.(II)V,29
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingFragmentActivity,findViewById.(I)Ljava/lang/Object;,29
twitter,com.twitter.http2,HttpHeaderBlockEncoder,setEncoderMaxHeaderTableSize.(I)V,29
SvenDub,nl.svendubbeld.car.activity,CarActivity,onGpsStatusChanged.(I)V,36
tkleisas,org.teacake.monolith.apk,SoundPoolManager,playSound.(I)V,42
GugleGH,ru.nosov.server.db.tables.logic,UsersDAOImpl,getUsersById.(I)Ljava/lang/Object;,43
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,canOutput_Item.(I)Z,31
TBtomislav,jxl.write.biff,RowRecord,removeCell.(I)V,29
gpfjeff,com.gpfcomics.android.ppp,Cardset,isValidCardNumber.(I)Z,29
sheryanresutov,GameBackEnd,Game,findPlayer.(I)Ljava/lang/Object;,29
gpfjeff,com.gpfcomics.android.ppp,Cardset,calculateCardWdith.(II)I,28
clhernandez,cl.usach.lab1.finanzas.rmi.client,ClienteFinanzasRMI,eliminarProducto.(I)Z,32
hpu-spring87,com.hpuvoice.fragment,ChatFragment,isDeletePng.(I)Z,34
bhargavchippada,clickr,LoginPage,updateSharedPref.(I)V,32
zhangruoxu,VC.CodeGen,Emitter,emitICONST.(I)V,74
JsonHunt,com.squareup.okhttp.internal.spdy,Settings,getUploadBandwidth.(I)I,28
KenyStev,LabProgra2,Residencial,numeroDisponible.(I)Z,29
kschlorff16,-,Picture,get.(II)Ljava/awt/Color;,40
dcapwell,com.github.dcapwell.java.file.operations,NIOChmod,convertToPermissionsSet.(I)Ljava/lang/Object;,30
eevans,SevenZip.Compression.LZMA,Base,StateUpdateRep.(I)I,42
nicolas-legroux,-,GraphBuilder,addPartsOfSize.(II)V,33
itot0103,ocha.itolab.koala.datagen.egotwitter,FeatureProcessor,addAccountClusters.(II)V,33
danielsnipher,br.com.fiap.blind,MapRouteActivity,onInit.(I)V,31
fabiuz7,edu.umd.cloud9.util,ArrayListOfInts,remove.(I)I,31
caseyjames,assignment9,PriorityQueueHEAP,swap.(II)V,31
The-WUUSTER,markov,monteCarlo,indexLookup.(I)I,31
dumchikov,com.grumoon.pulllistview,PullListView,canScroll.(I)Z,31
AxelSilvestre,fr.sedara.pusher.model,Game,playerForward.(II)Z,31
Mandrivia,main,ProblemData,setAreaDimension.(III)V,29
TBtomislav,jxl.biff.formula,CellReference3d,adjustRelativeCellReferences.(II)V,32
Jumping-alien-W-and-M,jumpingalien.model,World,setWindowWidth.(I)V,30
clhernandez,cl.usach.lab1.finanzas.rmi.client,ClienteFinanzasRMI,getProductoById.(I)Ljava/lang/Object;,31
SalesforceEng,com.salesforce.keystone.roadrunner.nio.streams,ByteBufferOutputStream,write.(I)V,29
liulinru13,mmrx.com.metrolayout,MetroView,onMeasure.(II)V,30
tkleisas,org.teacake.monolith.apk,SoundPoolManager,resumeMusic.(I)V,29
mithunkumarnallu,SchedulingAlgos,ProcessInfo,UpdateReadyQueueInsertTime.(I)V,29
TBtomislav,jxl.biff,FormattingRecords,getNumberFormat.(I)Ljava/lang/Object;,31
Mandrivia,main,ProblemData,setNbTarget.(I)V,29
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingPreferenceActivity,setContentView.(I)V,31
KenyStev,-,PalindromoAir,reset.(I)V,49
ParthoShuvo,com.apppreview.shuvojit.androiddatabase.databases,StudentDatabase,getStudentInfoList.(I)Ljava/lang/Object;,37
twitter,com.twitter.http2,HttpConnection,updateAllReceiveWindowSizes.(I)V,29
Trololoshe4ki,-,Proba3,deleteVertex.(I)V,30
bradfordkyle11,com.kmbapps.classscheduler,NavigationDrawerFragment,selectItem.(I)V,32
n11com,com.n11.tech.endlessadapter.adapter,EndlessAdapter,setHasMoreData.(II)V,29
Tommyatkins,com.tommyatkins.test.reflect,Generic,getGenericType.(I)Ljava/lang/Class;,28
fabiuz7,edu.umd.cloud9.util,ArrayListOfShorts,get.(I)S,29
zyq001,edu.bupt.zyq,CountandSay,countAndSay.(I)Ljava/lang/String;,74
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingActivity,setBehindContentView.(I)V,27
jhonnybsg,br.com.gamezes.screens,PlayerSelectScreen,scrolled.(I)Z,28
Notze,io.github.notze.redstoneswords,Events,toLevel.(II)I,76
harrisca,com.zephyrus.testapp.carletonenergyapp.app,MainActivity,setCurrentView.(I)V,28
clrung,-,Heap,heapifyDown.(I)V,39
tliu17,-,MatrixGraph,areNeighbors.(II)Z,34
netixx,fr.enst.infsi351.notedown.util,PdfEngine,prepareRender.(I)Z,29
tliu17,-,MatrixGraph,addEdge.(II)V,39
zhangruoxu,VC.Scanner,SourceFile,inspectChar.(I)C,30
GugleGH,ru.nosov.SMSreader.db.adapters,AdapterPSTv1,getItemViewType.(I)I,30
cyanskies,au.edu.deakin.ice.meltdown,SoundManager,resume.(I)V,30
kinneyyan,com.yanshi.my36kr.common.view.slidingTab,SlidingTabLayout,scrollToTab.(II)V,28
shred,org.shredzone.feinrip.gui,NoListSelectionModel,addSelectionInterval.(II)V,28
Tyrtle,trevorwarner.individualgame,UpgradesShop,increasePrice.(II)I,39
KenyStev,Zero.Studio.Gato,Gato,setX.(II)V,43
pfyuit,com.pfyuit.myalgorithm.datastructure.tree,Heap,trickleUp.(I)V,47
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingListActivity,findViewById.(I)Ljava/lang/Object;,48
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingActivityHelper,findViewById.(I)Ljava/lang/Object;,28
harithan81,com.lm.service,UserActivityService,returnBook.(I)Ljava/lang/Object;,30
StefanCiotec,ro.pub.cs.systems.pdsd.lab05.sample09baseadapter.controller,CartoonAdapter,getItemViewType.(I)I,29
gpfjeff,com.gpfcomics.android.ppp,Cardset,fitsMaxCardWidth.(II)Z,29
sarvex,com.sarvex.snow,PlaybackOverlayFragment,updatePlaybackRow.(I)V,30
yxsu,com.petuum.ps.server,CallBackSubs,unsubscribe.(I)Z,32
sheryanresutov,gui,CardGrid,removeCard.(II)V,46
butlersrepos,dungeonDigger.entities.templates,ZombieTemplate,newMovement.(I)I,31
shareme,com.grottworkshop.gwsviewmodel.viewmodel,UserListViewModel,deleteUser.(I)V,31
yxsu,com.petuum.ps.server,Server,findCreateRow.(II)Ljava/lang/Object;,31
divinebooger,-,Calculator,printHistory.(I)V,36
vehicle-history,io.vehiclehistory.adapter,VehicleDataAdapter,getItem.(I)Ljava/lang/Object;,30
gpfjeff,com.gpfcomics.android.ppp,Cardset,isValidPasscodeLength.(I)Z,38
KenyStev,ChessChaturanga.Logica.Pieces,Pawn,validMovement.(II)Z,30
bmzhao,-,UtopianTree,UtopiaTree.(I)I,31
alero,org.hrodberaht.i18n.formatter,NumberFormatter,validatePosition.(IIII)Z,33
eevans,SevenZip.Compression.LZMA,Decoder,SetLcLpPb.(III)Z,28
