project,package,class,method,time
jlnunn2372,bubblePopper,ScoreBoardController,comapreScore.(I)V,31
Mandrivia,main,ProblemData,isCovered.(I)I,35
igorgatis,com.googlecode.compress_j2me.lzc,LZCOutputStream,write.(I)V,32
cyanskies,au.edu.deakin.ice.meltdown,SoundManager,resume.(I)V,32
martincameron,micromod,Instrument,setFineTune.(I)V,42
gpfjeff,com.gpfcomics.android.ppp,Cardset,setNumberOfColumns.(I)V,30
eevans,SevenZip.Compression.LZMA,Base,GetLenToPosState.(I)I,34
DunnR,-,BinaryTree,add.(I)V,33
eevans,SevenZip.Compression.LZMA,Base,StateIsCharState.(I)Z,38
sheryanresutov,GameBackEnd,GameBoard,checkSet.(III)Z,34
jglewis93,com.example.jon.restroomradar,SchemaContract,getLongitude.(I)D,35
immlf,ua.pp.lab101.synthesizercontrol.ftdiconverter,DataConverter,returnClearBitMask.(I)B,31
mtudora,com.application.timmy.ui,OfficeMapView,measure.(I)I,34
Kevin-unipe,data.br,Data,setDia.(I)V,40
KenyStev,com.ZeroStudio.Algorimos.week1,WeightedQuickUnionUF,connected.(II)Z,30
KenyStev,ChessChaturanga.Logica.Pieces,Elephant,validMovement.(II)Z,28
mithunkumarnallu,SchedulingAlgos,ProcessInfo,DecrementProcessBurstTime.(I)I,54
chrisschroeder92,edu.augustana.csc490.phoenix,Bullet,checkOnScreen.(I)Z,29
sheryanresutov,gui,GamePanel,decreaseScore.(I)V,28
lorinczpatrik,tema2_TP,Simulator,closeHandler.(I)V,29
martincameron,ibxm,Data,uleShort.(I)I,35
Mandrivia,main,ProblemData,setNbBalloon.(I)V,29
jhonnybsg,br.com.gamezes.screens,PlayerSelectScreen,touchDragged.(III)Z,46
voodoodyne,org.subethamail.smtp.server,SMTPServer,setConnectionTimeout.(I)V,32
Jumping-alien-W-and-M,jumpingalien.model,World,getHash.(II)I,33
phdabel,util,MASLABRouting,getSearch.(I)Ljava/lang/Object;,33
Holmaren,ir,PostingsEntry,addOffset.(I)V,37
isince,com.ndsince.dictsv.Adapter,CustomAdapter,menuListDialogAction.(II)V,32
DShamaev,com.hikimori911.mylastfmclient.appinterface,MainMenuAdapter,getItemViewType.(I)I,33
caseyjames,FinalProject,PriorityQueueHEAP,percolateDown.(I)V,47
eungju,cylon.creole,CreoleMarkupBuilder,charAt.(I)C,37
kinneyyan,com.antonyt.infiniteviewpager,MinFragmentPagerAdapter,getItem.(I)Ljava/lang/Object;,42
cyanskies,au.edu.deakin.ice.meltdown,SoundManager,load.(I)I,46
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,incrSide.(I)Z,30
immlf,ua.pp.lab101.synthesizercontrol.adregisters,ADRegister,setBitByPosition.(I)V,80
tliu17,-,ListGraph,areNeighbors.(II)Z,38
voodoodyne,org.subethamail.smtp.server,SMTPServer,setPort.(I)V,30
jglewis93,com.example.jon.restroomradar,SchemaContract,getTitle.(I)Ljava/lang/Object;,31
bmzhao,-,UtopianTree,UtopiaTree.(I)I,31
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingListActivity,setBehindContentView.(I)V,29
fabiuz7,edu.umd.cloud9.util,ArrayListOfInts,indexOf.(I)I,29
JsonHunt,com.squareup.okhttp.internal.spdy,Settings,get.(I)I,30
shred,org.shredzone.feinrip.gui,JLabelGroup,setMinimumWidth.(I)V,111
frigidrain,scheduler,TaskGroup,setDifficulty.(I)V,29
naver,com.naver.android.rotatableviewsample,MainActivity,roundOrientation.(II)I,30
tecnomatico,com.freelancersteam.www.java.tomafoto.dominio.dao.imp,EmpleadoDaoImp,getAsistencia.(I)Ljava/lang/Object;,29
itot0103,ocha.itolab.koala.applet.koalaview,VectorParettePanel,draw.(I)V,30
KenyStev,Zero.Studio.Gato,Gato,set0.(II)V,74
zhangruoxu,VC.CodeGen,Frame,pop.(I)V,32
rsv355,beap.webmyne.com.demotabbar,MainActivity,selectTAB.(I)V,33
voodoodyne,org.subethamail.smtp.io,ThresholdingOutputStream,write.(I)V,29
TheTemportalist,com.temportalist.thaumicexpansion.common.block,BlockThaumicAnalyzer,getTier.(I)I,29
mithunkumarnallu,SchedulingAlgos,ProcessInfo,UpdateReadyQueueWaitTime.(I)V,31
aatxe,org.tomato.net.server.debug,LimitLinesDocumentListener,setLimitLines.(I)V,37
hpu-spring87,com.hpuvoice.XlistView,XListViewHeader,setState.(I)V,30
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,decrSide.(I)Z,30
alexditu,ro.pub.cs.systems.pdsd.lab05.addressbook.controller,ContactAdapter,getItemId.(I)J,28
frontiertsymbal,com.frontier.giphy.utils,CircularViewPagerHandler,handleScrollState.(I)V,30
Tommyatkins,com.tommyatkins.test.reflect,Generic,getGenericType.(I)Ljava/lang/Class;,27
JsonHunt,com.squareup.okhttp.internal.spdy,Settings,getInitialWindowSize.(I)I,27
tliu17,-,ClosedHashing,delete.(II)V,39
voodoodyne,org.subethamail.smtp.io,ThresholdingOutputStream,checkThreshold.(I)V,28
bhargavchippada,clickr,LoginPage,updateSharedPref.(I)V,32
hpu-spring87,com.hpuvoice.XlistView,XListView,resetHeaderHeight.(I)V,29
martincameron,micromod,Instrument,normalizeSampleIdx.(I)I,33
zhangruoxu,VC.CodeGen,Frame,push.(I)V,29
immlf,ua.pp.lab101.synthesizercontrol.adregisters,ADRegister,clearBitByPosition.(I)V,39
sheryanresutov,GameBackEnd,GameLobby,delPlayer.(I)V,29
krisnaru,-,PrimeNumbers,testManual.(I)V,46
clear2zero,com.ksy.media.widget,MediaPlayerLockView,show.(I)V,33
tkleisas,org.teacake.monolith.apk,SoundPoolManager,playSound.(I)V,28
Artur-,org.vaadin.artur,DayValidator,setMonth.(I)V,37
frigidrain,scheduler,TaskGroup,setUrgency.(I)V,27
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingActivity,setContentView.(I)V,27
voodoodyne,org.subethamail.smtp.server,SMTPServer,setMaxRecipients.(I)V,33
twitter,com.twitter.http2,HttpHeaderBlockEncoder,setDecoderMaxHeaderTableSize.(I)V,28
hpu-spring87,com.hpuvoice.fragment,ChatFragment,isDeletePng.(I)Z,29
sheryanresutov,gui,GamePanel,blockTimer.(I)V,29
sheryanresutov,GameBackEnd,GameBoard,processSubmit.(III)I,28
eevans,SevenZip.Compression.LZ,InWindow,GetIndexByte.(I)B,31
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingMapActivity,setBehindContentView.(I)V,27
clhernandez,cl.usach.lab1.finanzas.rmi.client,ClienteFinanzasRMI,eliminarOrden.(I)Z,28
tkleisas,org.teacake.monolith.apk,SoundPoolManager,pauseMusic.(I)V,27
KenyStev,com.ZeroStudio.Algorimos.week1,WeightedQuickUnionUF,root.(I)I,28
TheTemportalist,com.temportalist.thaumicexpansion.common.block,BlockThaumicAnalyzer,damageDropped.(I)I,27
sheryanresutov,GameBackEnd,Game,setLock.(I)V,28
neureal,org.noo4j.daemon,BtcDaemon,startListening.(III)V,27
twitter,com.twitter.http2,HttpConnection,isLocalSideClosed.(I)Z,31
wujek-srujek,com.jambit.conti.ccss,CCSS,generateTouch.(III)V,47
butlersrepos,dungeonDigger.entities.templates,ZombieTemplate,newDex.(I)I,47
KenyStev,com.ZeroStudio.Algorimos.week1,QuickUnionUF,root.(I)I,32
dcapwell,com.github.dcapwell.java.file.operations,NIOChmod,convertToPermissionsSet.(I)Ljava/lang/Object;,31
twitter,com.twitter.http2,HttpConnection,updateReceiveWindowSize.(II)I,30
isince,com.ndsince.dictsv.Adapter,CustomAdapter,getItemId.(I)J,29
linsonzhao,video.app.com.views,ScallingImageView,setMaxWidth.(I)V,31
tliu17,-,OpenHashing,printTable.(I)V,43
double0291,com.android.volley.toolbox,ByteArrayPool,getBuf.(I)[B,246
KenyStev,com.ZeroStudio.Algorimos.week1,QuickUnionUF,connected.(II)Z,34
stickfigure,unsuck.security,BCrypt,gensalt.(I)Ljava/lang/String;,909
Mandrivia,main,ProblemData,setNbTarget.(I)V,35
caseyjames,assignment9,PriorityQueueHEAP,percolateUp.(I)V,38
Jumping-alien-W-and-M,jumpingalien.model,Slime,hit.(I)V,30
yxsu,com.petuum.ps.server,Server,init.(I)V,32
WyattPearson,-,ReversiGame,flipLine.(IIII)V,33
KenyStev,LabProgra2,Residencial,numeroDisponible.(I)Z,31
clear2zero,com.ksy.media.widget,MediaPlayerControllerVolumeView,setVolume.(I)V,34
JsonHunt,com.squareup.okhttp.internal.spdy,Settings,getDownloadBandwidth.(I)I,28
eevans,SevenZip.Compression.LZMA,Decoder,SetDictionarySize.(I)Z,37
linsonzhao,video.app.autobahn,WebSocketOptions,setReconnectInterval.(I)V,32
gpfjeff,com.gpfcomics.android.ppp,Cardset,isValidNumberOfColumns.(I)Z,50
EricssonResearch,com.ericsson.research.owr.sdk,MediaStreamHandler,onSendSsrcChanged.(I)V,32
zhangruoxu,VC.CodeGen,Emitter,emitASTORE.(I)V,40
MikeLydeamore,powercrystals.core.gui.controls,ListBox,drawForeground.(II)V,39
liulinru13,mmrx.com.myuserdefinedview,MainActivity,selectFragment.(I)V,34
linsonzhao,video.app.com.views,ScallingImageView,resolveAdjustedSize.(III)I,31
KenyStev,-,PalindromoAir,printPassengers.(I)V,29
igrief15,-,Board,unoccupy.(II)V,28
sheryanresutov,gui,CardGrid,setGameID.(I)V,28
alexditu,ro.pub.cs.systems.pdsd.lab05.sample11listfragment.controller,CartoonAdapter,getItemViewType.(I)I,29
StefanCiotec,ro.pub.cs.systems.pdsd.lab05.sample11listfragment.controller,CartoonAdapter,getItemViewType.(I)I,30
igorgatis,com.googlecode.compress_j2me.gzip,ZStream,writeLittleEndian.(II)V,37
yitaohu,cs61b_project1,PixImage,getBlue.(II)S,30
jhonnybsg,br.com.gamezes.screens,PlayerSelectScreen,touchDown.(IIII)Z,29
harrydet,com.example.harry.wakeup.adapters,ListTaskListAdapter,deleteItem.(I)V,30
dcapwell,com.github.dcapwell.java.file.operations,NIOChmod,isSet.(II)Z,30
RedingG,com.reding.qrcard,WelcomeActivity,setCurView.(I)V,34
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,transfer.(III)Z,30
WyattPearson,-,Board,drawBoard.(II)V,320
sheryanresutov,GameBackEnd,Game,dropPlayerFromSB.(I)Ljava/lang/Object;,31
zhangruoxu,VC.Scanner,SourceFile,inspectChar.(I)C,30
tkleisas,org.teacake.monolith.apk,LinearInterpolator,getValue.(I)F,31
zlim,jnt.scimark2,MonteCarlo,num_flops.(I)D,29
pfyuit,com.pfyuit.myalgorithm.datastructure.hash,HashTable,remove.(I)Lcom/pfyuit/myalgorithm/datastructure/hash/HashTable$DataItem;,30
WyattPearson,-,Board,unoccupy.(II)V,27
dezouzart,service,SmartBusca,checaVisitados.(II)Z,29
Mandrivia,main,ProblemData,getScoreBalloon.(II)I,31
vdzundza,main,HashMap,get.(I)Ljava/lang/Object;,31
sivang,org.kde.necessitas.origo,QtActivity,onCreatePanelView.(I)Ljava/lang/Object;,32
spiritistz,com.wordpress.hifilmtheapp,MainActivity,getOutputMediaFile.(I)Ljava/lang/Object;,31
clear2zero,com.ksy.media.widget,MediaPlayerBufferingView,setBufferingProgress.(I)V,38
caseyjames,assignment9,PriorityQueueHEAP,percolateDown.(I)V,39
fabiuz7,edu.umd.cloud9.util,ArrayListOfInts,remove.(I)I,28
yxsu,com.petuum.ps.common.util,VectorClock,getClock.(I)I,28
clhernandez,cl.usach.lab1.finanzas.rmi.client,ClienteFinanzasRMI,getClienteById.(I)Ljava/lang/Object;,28
TomWerner,com.wernerapps.ezbongo.StopListing,ExpandableSwipeAdapter,getChildId.(II)J,26
ahielg,hebrewDate,CalendarUtils,gimatria.(I)Ljava/lang/Object;,31
Jumping-alien-W-and-M,jumpingalien.model,World,getTilePos.(I)I,31
Mandrivia,main,ProblemData,getTargetIndex.(II)I,32
TBtomislav,jxl.write.biff,WritableWorkbookImpl,getExternalSheetName.(I)Ljava/lang/Object;,31
clhernandez,cl.usach.lab1.finanzas.rmi.client,ClienteFinanzasRMI,eliminarCliente.(I)Z,33
azaky,ecc,ECPoint,toString.(I)Ljava/lang/String;,51
asleepcat,org.eclipse.wb.swt,SWTResourceManager,getCursor.(I)Ljava/lang/Object;,32
IMORALESNW,com.nubware.healthyapp,ApplicationStep2,onExit.(I)V,29
JsonHunt,com.squareup.okhttp.internal.spdy,Settings,getClientCertificateVectorSize.(I)I,26
martincameron,micromod,Note,periodToKey.(I)I,255
sheryanresutov,gui,GamePanel,addCard.(I)V,27
DHIS2,org.dhis2.mobile.utils.date.expiryday,SixMonthlyExpiryDayValidator,monthOfYear.(I)I,53
daniellebryant,edu.augustana.csc490.individualgame,GamePiece,contains.(II)Z,37
KenyStev,examen1labprg2,Empresa,extendsContract.(I)Z,32
MikeLydeamore,powercrystals.core.gui.controls,ListBox,removeAt.(I)V,28
jn222na,com.example.DAL,CRUD,getTask.(I)Ljava/lang/Object;,28
dumchikov,chickens.kharkov.ua.chickens,TabsViewPagerAdapter,getItem.(I)Ljava/lang/Object;,29
netixx,fr.enst.infsi351.notedown.fragment,SideBySidePdfRendererFragment,showPage.(II)V,27
WyattPearson,-,HailstoneGenerator,hailstone.(I)I,34
daniellebryant,edu.augustana.csc490.individualgame,GamePiece,setOwner.(I)V,29
fabiuz7,edu.umd.cloud9.util,ArrayListOfShorts,ensureCapacity.(I)V,28
alero,org.hrodberaht.i18n.formatter,NumberFormatter,validatePosition.(IIII)Z,33
frontiertsymbal,com.frontier.giphy.utils,CircularViewPagerHandler,onPageScrollStateChanged.(I)V,28
Mandrivia,main,ProblemData,setAltitudeChanges.(III)V,28
AlecinVan,storm.ingress.tools,SlotBasedCounter,wipeSlot.(I)V,28
eevans,SevenZip.Compression.LZMA,Base,StateUpdateChar.(I)I,36
gpfjeff,com.gpfcomics.android.ppp,Cardset,isValidPasscodeLength.(I)Z,41
voodoodyne,org.subethamail.smtp.server,SMTPServer,setMaxMessageSize.(I)V,32
martincameron,micromod,Channel,volumeSlide.(I)V,31
jhonnybsg,br.com.gamezes.screens,PlayerSelectScreen,touchUp.(IIII)Z,28
fabiuz7,edu.umd.cloud9.util,ArrayListOfShorts,get.(I)S,30
Jumping-alien-W-and-M,jumpingalien.model,World,getProperYWindow.(I)I,28
voodoodyne,org.subethamail.smtp.server,SMTPServer,setMaxConnections.(I)V,28
clear2zero,com.ksy.media.widget,MediaPlayerView,requestPlayMode.(I)Z,28
KenyStev,ChessChaturanga.Logica.Pieces,King,validMovement.(II)Z,27
srivathsarao,com.vertexnet.realestate.model.tablemodel,AgentsTableModel,isCellEditable.(II)Z,39
immlf,ua.pp.lab101.synthesizercontrol.adregisters,ADRegister,clearStateByMask.(I)V,42
KenyStev,ChessChaturanga.Logica.Pieces,Advisor,validMovement.(II)Z,27
GugleGH,ru.nosov.server.db.tables.logic,UsersTypesDAOImpl,getUsersTypesById.(I)Ljava/lang/Object;,29
igorgatis,com.googlecode.compress_j2me.lzc,LZCStream,writeCode.(II)V,29
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,isValidSlot.(I)Z,28
yitaohu,cs61b_project1,PixImage,getGreen.(II)S,28
wenjiang,com.zwb.simple.ui,SelectorDrawable,changeViewOn.(I)V,26
caseyjames,assignment8,HashTable,nextPrime.(I)I,28
jalpan-randeri,model,Dataset,getPoint.(I)Ljava/lang/Object;,27
dheerajbsc,-,DepthFirstSearch,addEdge.(II)V,28
WyattPearson,server,ReversiGame,flipLine.(IIII)V,87
billcchung,tw.billchung.taiwancoffeeprices,MainActivity,onSectionAttached.(I)V,37
tliu17,-,MatrixGraph,addEdge.(II)V,33
linsonzhao,video.app.autobahn,ByteBufferOutputStream,write.(I)V,33
fabiuz7,edu.priceton.cs.graph,GraphGenerator,regular.(II)Ljava/lang/Object;,28
clhernandez,cl.usach.lab1.db.DAO.rrhh,CargoDAO,eliminarCargo.(I)Z,29
swapneshgandhi,com.cloudwick.training.logging,Calculator,calulate.(II)I,32
compgen-io,io.compgen.common.io,PeekableInputStream,peek.(I)[B,28
linsonzhao,video.app.com.views,ScallingImageView,setMaxHeight.(I)V,29
AlecinVan,storm.ingress.kafka,StaticPartitionConnections,getConsumer.(I)Ljava/lang/Object;,29
martincameron,micromod,Macro,sqrt.(I)I,29
nemui,deep.dark.lonebrewer,LBWFCompanionConfigActivity,onConnectionSuspended.(I)V,27
linsonzhao,video.app.autobahn,WebSocketOptions,setMaxFramePayloadSize.(I)V,50
sudobash1,pbsc,PbscCompiler,generateSymTabComment.(II)Ljava/lang/Object;,34
mtudora,com.application.timmy.ui,AddMeActivity,calculateInSampleSize.(IIII)I,551
immlf,ua.pp.lab101.synthesizercontrol.adregisters,ADRegister,isSuitablePositionValue.(I)Z,35
GugleGH,ru.nosov.server.db.tables.logic,UsersDAOImpl,getUsersById.(I)Ljava/lang/Object;,31
MikeLydeamore,powercrystals.core.gui.controls,ListBox,onMouseWheel.(III)Z,41
mookie1097,mooklabs.ivdconnect,NavigationDrawerFragment,selectItem.(I)V,48
phdabel,ufrgs.maslab.abstractsimulator.variables,FireStation,clusteringMain.(I)V,33
GugleGH,ru.nosov.SMSreader.db.adapters,AdapterPSTv1,getItemId.(I)J,37
lluidesia,com.stfalcon.lostandfound.tabs,SlidingTabLayout,scrollToTab.(II)V,33
srivathsarao,com.vertexnet.realestate.model.tablemodel,LayoutsTableModel,isCellEditable.(II)Z,33
markcwal,com.codepath.apps.basictwitter,TimelineActivity,customLoadMoreDataFromApi.(I)V,29
RedingG,com.reding.qrcard,WelcomeActivity,onPageScrollStateChanged.(I)V,28
abraxasson,at.abraxas.amarino.plugins.compass,EditActivity,getRate.(I)I,46
phdabel,util,MASLABRouting,getRoadIDs.(I)Ljava/lang/Object;,33
harrydet,com.example.harry.wakeup,MainScreen,onListItemSelected.(I)V,26
Jumping-alien-W-and-M,jumpingalien.model,World,setWindowWidth.(I)V,28
igorgatis,com.googlecode.compress_j2me.lzc,LZCOutputStream,writeBuffer.(I)V,29
zyq001,edu.bupt.zyq,ClimbingStairs,climbStairs.(I)I,80
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,setFacing.(I)Z,30
eevans,SevenZip.Compression.LZ,OutWindow,CopyBlock.(II)V,54
Kevin-unipe,data.br,Data,setAno.(I)V,33
clhernandez,cl.usach.lab1.rrhh.rmi.client,ClienteRrhhRMI,eliminarTrabajador.(I)Z,32
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingFragmentActivity,findViewById.(I)Ljava/lang/Object;,29
StefanCiotec,ro.pub.cs.systems.pdsd.lab05.sample09baseadapter.controller,CartoonAdapter,getItemViewType.(I)I,30
tkleisas,org.teacake.monolith.apk,SoundPoolManager,resumeMusic.(I)V,28
luizrogeriocn,-,ListaDeCantinas,retirarEstoque.(II)V,32
Mandrivia,main,ProblemData,setTargetCovered.(II)V,28
jordanywhite,edu.up.cs301.game.config,GameConfig,getSelType.(I)Ljava/lang/Object;,31
Jumping-alien-W-and-M,jumpingalien.model,World,setWindowWidth.(I)V,29
fiddenmar,com.jlabs.lab6,EncodingCipher,getEncoding.(I)Ljava/lang/String;,68
PunchApp,com.android.volley.toolbox,PoolingByteArrayOutputStream,write.(I)V,27
twitter,com.twitter.http2,HttpConnection,updateSendWindowSize.(II)I,29
MikeLydeamore,cofh.gui.client,GuiFriendsList,mouseClicked.(III)V,29
lorinczpatrik,tema2_TP,Simulator,addHandlers.(I)V,29
zhangruoxu,VC.CodeGen,Emitter,emitILOAD.(I)V,36
frigidrain,scheduler,TaskGroup,createChunks.(I)V,30
aurora-lzzp,student,ClassMgr,setClassMgrid.(I)V,29
Trololoshe4ki,-,Proba3,metodDelete.(I)V,29
Jumping-alien-W-and-M,jumpingalien.model,World,getTilePos.(I)I,28
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,receiveGuiNetworkData.(II)V,26
double0291,io.vov.vitamio.widget,CenterLayout,onMeasure.(II)V,28
clear2zero,com.ksy.media.data,MediaPlayerUtils,isWindowMode.(I)Z,29
